"insee_code","year","n_AEP","n_SOU","n_SUP","n_tot"
"01085",2018,0,117,14,131
"01085",2019,0,41,27,68
"01085",2020,0,0,78,78
"01087",2015,0,0,6,6
"01087",2018,0,0,14,14
"01087",2019,0,0,27,27
"01087",2020,0,0,14,14
"01088",2017,0,53,27,80
"01088",2018,0,117,14,131
"01088",2019,0,231,27,258
"01088",2020,0,104,78,182
"01089",2017,0,53,27,80
"01089",2018,0,117,14,131
"01089",2019,0,231,27,258
"01089",2020,0,104,78,182
"01090",2017,0,53,27,80
"01090",2018,0,117,14,131
"01090",2019,0,41,27,68
"01090",2020,0,0,78,78
"01092",2017,0,53,27,80
"01092",2018,0,117,14,131
"01092",2019,0,41,27,68
"01092",2020,0,0,78,78
"01093",2015,0,43,0,43
"01093",2017,0,115,27,142
"01093",2018,0,117,14,131
"01093",2019,0,41,27,68
"01093",2020,0,0,78,78
"01094",2017,0,0,27,27
"01094",2018,0,0,14,14
"01094",2019,0,0,27,27
"01094",2020,0,0,14,14
"01095",2017,0,0,27,27
"01095",2018,0,0,14,14
"01095",2019,0,0,27,27
"01095",2020,0,0,14,14
"01096",2015,0,43,0,43
"01096",2017,0,115,27,142
"01096",2018,0,117,14,131
"01096",2019,0,41,27,68
"01096",2020,0,0,78,78
"01098",2015,0,0,6,6
"01098",2018,0,0,14,14
"01098",2019,0,0,27,27
"01098",2020,0,0,14,14
"01099",2017,0,53,27,80
"01099",2018,0,117,14,131
"01099",2019,0,231,27,258
"01099",2020,0,104,78,182
"01100",2015,0,0,43,43
"01100",2017,0,0,62,62
"01100",2018,0,0,59,59
"01100",2019,0,0,115,115
"01101",2015,0,0,43,43
"01101",2017,0,0,62,62
"01101",2018,0,0,59,59
"01101",2019,0,0,115,115
"01102",2017,0,0,27,27
"01102",2018,0,0,14,14
"01102",2019,0,0,27,27
"01102",2020,0,0,14,14
"01103",2015,0,43,6,49
"01103",2017,0,53,0,53
"01103",2018,0,117,14,131
"01103",2019,0,231,27,258
"01103",2020,0,0,14,14
"01104",2015,0,43,6,49
"01104",2017,0,53,0,53
"01104",2018,0,117,14,131
"01104",2019,0,231,27,258
"01104",2020,0,0,14,14
"01105",2015,0,43,0,43
"01105",2017,0,115,27,142
"01105",2018,0,117,14,131
"01105",2019,0,41,27,68
"01105",2020,0,0,78,78
"01106",2015,0,0,43,43
"01106",2017,0,0,62,62
"01106",2018,0,0,59,59
"01106",2019,0,0,115,115
"01107",2015,0,0,43,43
"01107",2017,0,0,62,62
"01107",2018,0,0,59,59
"01107",2019,0,0,115,115
"01108",2017,0,0,27,27
"01108",2018,0,0,14,14
"01108",2019,0,0,27,27
"01108",2020,0,0,14,14
"01109",2015,0,43,6,49
"01109",2017,0,53,0,53
"01109",2018,0,117,14,131
"01109",2019,0,231,27,258
"01109",2020,0,0,14,14
"01110",2015,0,0,43,43
"01110",2017,0,0,62,62
"01110",2018,0,0,59,59
"01110",2019,0,0,115,115
"01111",2015,0,0,43,43
"01111",2017,0,0,62,62
"01111",2018,0,0,59,59
"01111",2019,0,0,115,115
"01112",2015,0,0,43,43
"01112",2017,0,0,62,62
"01112",2018,0,0,59,59
"01112",2019,0,0,115,115
"01113",2015,0,43,0,43
"01113",2017,0,115,27,142
"01113",2018,0,117,14,131
"01113",2019,0,41,27,68
"01113",2020,0,0,78,78
"01114",2015,0,43,6,49
"01114",2017,0,53,0,53
"01114",2018,0,117,14,131
"01114",2019,0,231,27,258
"01114",2020,0,0,14,14
"01115",2017,0,0,27,27
"01115",2018,0,0,14,14
"01115",2019,0,0,27,27
"01115",2020,0,0,78,78
"01116",2015,0,0,43,43
"01116",2017,0,0,62,62
"01116",2018,0,0,59,59
"01116",2019,0,0,115,115
"01117",2015,0,0,43,43
"01117",2017,0,0,62,62
"01117",2018,0,0,59,59
"01117",2019,0,0,115,115
"01118",2015,0,0,6,6
"01118",2018,0,0,14,14
"01118",2019,0,0,27,27
"01118",2020,0,0,14,14
"01121",2015,0,0,43,43
"01121",2017,0,0,62,62
"01121",2018,0,0,59,59
"01121",2019,0,0,115,115
"01123",2015,0,43,0,43
"01123",2017,0,115,27,142
"01123",2018,0,117,14,131
"01123",2019,0,41,27,68
"01123",2020,0,0,78,78
"01124",2017,0,0,27,27
"01124",2018,0,0,14,14
"01124",2019,0,0,27,27
"01124",2020,0,0,14,14
"01125",2015,0,0,43,43
"01125",2017,0,0,62,62
"01125",2018,0,0,59,59
"01125",2019,0,0,115,115
"01127",2017,0,0,27,27
"01127",2018,0,0,14,14
"01127",2019,0,0,27,27
"01127",2020,0,0,14,14
"01128",2017,0,0,27,27
"01128",2018,0,0,14,14
"01128",2019,0,0,27,27
"01128",2020,0,0,14,14
"01129",2017,0,53,27,80
"01129",2018,0,117,14,131
"01129",2019,0,41,27,68
"01129",2020,0,0,78,78
"01130",2017,0,0,27,27
"01130",2018,0,0,14,14
"01130",2019,0,0,27,27
"01130",2020,0,0,14,14
"01133",2015,0,0,6,6
"01133",2018,0,0,14,14
"01133",2019,0,0,27,27
"01133",2020,0,0,14,14
"01134",2015,0,43,0,43
"01134",2017,0,115,27,142
"01134",2018,0,117,14,131
"01134",2019,0,41,27,68
"01134",2020,0,0,78,78
"01135",2015,0,43,6,49
"01135",2017,0,53,0,53
"01135",2018,0,117,14,131
"01135",2019,0,231,27,258
"01135",2020,0,0,14,14
"01136",2015,0,43,0,43
"01136",2017,0,115,27,142
"01136",2018,0,117,14,131
"01136",2019,0,41,27,68
"01136",2020,0,0,78,78
"01138",2015,0,0,6,6
"01138",2018,0,0,14,14
"01138",2019,0,0,27,27
"01138",2020,0,0,14,14
"01139",2017,0,0,27,27
"01139",2018,0,0,14,14
"01139",2019,0,0,27,27
"01139",2020,0,0,14,14
"01140",2017,0,0,27,27
"01140",2018,0,0,14,14
"01140",2019,0,0,27,27
"01140",2020,0,0,78,78
"01141",2015,0,0,6,6
"01141",2018,0,0,14,14
"01141",2019,0,0,27,27
"01141",2020,0,0,14,14
"01142",2017,0,53,27,80
"01142",2018,0,117,14,131
"01142",2019,0,41,27,68
"01142",2020,0,0,78,78
"01143",2015,0,43,6,49
"01143",2017,0,53,0,53
"01143",2018,0,117,14,131
"01143",2019,0,231,27,258
"01143",2020,0,0,14,14
"01145",2017,0,53,27,80
"01145",2018,0,117,14,131
"01145",2019,0,41,27,68
"01145",2020,0,0,78,78
"01146",2015,0,43,0,43
"01146",2017,0,115,27,142
"01146",2018,0,117,14,131
"01146",2019,0,41,27,68
"01146",2020,0,0,78,78
"01147",2017,0,0,27,27
"01147",2018,0,0,14,14
"01147",2019,0,0,27,27
"01147",2020,0,0,14,14
"01148",2015,0,0,43,43
"01148",2017,0,0,62,62
"01148",2018,0,0,59,59
"01148",2019,0,0,115,115
"01149",2015,0,0,43,43
"01149",2017,0,53,62,115
"01149",2018,0,117,59,176
"01149",2019,0,231,115,346
"01149",2020,0,104,0,104
"01150",2017,0,0,27,27
"01150",2018,0,0,14,14
"01150",2019,0,0,27,27
"01150",2020,0,0,14,14
"01151",2017,0,53,27,80
"01151",2018,0,117,14,131
"01151",2019,0,41,27,68
"01151",2020,0,0,78,78
"01152",2015,0,0,6,6
"01152",2018,0,0,14,14
"01152",2019,0,0,27,27
"01152",2020,0,0,14,14
"01153",2015,0,43,6,49
"01153",2017,0,53,0,53
"01153",2018,0,117,14,131
"01153",2019,0,231,27,258
"01153",2020,0,0,14,14
"01155",2015,0,0,43,43
"01155",2017,0,0,62,62
"01155",2018,0,0,59,59
"01155",2019,0,0,115,115
"01156",2017,0,53,27,80
"01156",2018,0,117,14,131
"01156",2019,0,41,27,68
"01156",2020,0,0,78,78
"01157",2015,0,43,0,43
"01157",2017,0,115,27,142
"01157",2018,0,117,14,131
"01157",2019,0,41,27,68
"01157",2020,0,0,78,78
"01158",2015,0,43,6,49
"01158",2017,0,53,0,53
"01158",2018,0,117,14,131
"01158",2019,0,231,27,258
"01158",2020,0,0,14,14
"01159",2017,0,0,27,27
"01159",2018,0,0,14,14
"01159",2019,0,0,27,27
"01159",2020,0,0,14,14
"01160",2015,0,43,6,49
"01160",2017,0,53,0,53
"01160",2018,0,117,14,131
"01160",2019,0,231,27,258
"01160",2020,0,0,14,14
"01162",2015,0,0,6,6
"01162",2018,0,0,14,14
"01162",2019,0,0,27,27
"01162",2020,0,0,14,14
"01163",2017,0,0,27,27
"01163",2018,0,0,14,14
"01163",2019,0,0,27,27
"01163",2020,0,0,14,14
"01165",2015,0,43,0,43
"01165",2017,0,115,27,142
"01165",2018,0,117,14,131
"01165",2019,0,41,27,68
"01165",2020,0,0,78,78
"01166",2015,0,43,0,43
"01166",2017,0,115,27,142
"01166",2018,0,117,14,131
"01166",2019,0,41,27,68
"01166",2020,0,0,78,78
"01167",2015,0,43,0,43
"01167",2017,0,115,27,142
"01167",2018,0,117,14,131
"01167",2019,0,41,27,68
"01167",2020,0,0,78,78
"01169",2017,0,0,27,27
"01169",2018,0,0,14,14
"01169",2019,0,0,27,27
"01169",2020,0,0,78,78
"01170",2015,0,0,43,43
"01170",2017,0,0,62,62
"01170",2018,0,0,59,59
"01170",2019,0,0,115,115
"01171",2015,0,0,43,43
"01171",2017,0,0,62,62
"01171",2018,0,0,59,59
"01171",2019,0,0,115,115
"01173",2015,0,43,6,49
"01173",2017,0,53,0,53
"01173",2018,0,117,14,131
"01173",2019,0,231,27,258
"01173",2020,0,0,14,14
"01174",2015,0,0,6,6
"01174",2018,0,0,14,14
"01174",2019,0,0,27,27
"01174",2020,0,0,14,14
"01175",2017,0,0,27,27
"01175",2018,0,0,14,14
"01175",2019,0,0,27,27
"01175",2020,0,0,14,14
"01177",2015,0,0,43,43
"01177",2017,0,0,62,62
"01177",2018,0,0,59,59
"01177",2019,0,0,115,115
"01179",2015,0,43,0,43
"01179",2017,0,115,27,142
"01179",2018,0,117,14,131
"01179",2019,0,41,27,68
"01179",2020,0,0,78,78
"01180",2015,0,43,6,49
"01180",2017,0,53,0,53
"01180",2018,0,117,14,131
"01180",2019,0,231,27,258
"01180",2020,0,0,14,14
"01181",2015,0,0,43,43
"01181",2017,0,0,62,62
"01181",2018,0,0,59,59
"01181",2019,0,0,115,115
"01183",2015,0,43,0,43
"01183",2017,0,115,27,142
"01183",2018,0,117,14,131
"01183",2019,0,41,27,68
"01183",2020,0,0,78,78
"01184",2015,0,0,43,43
"01184",2017,0,0,62,62
"01184",2018,0,0,59,59
"01184",2019,0,0,115,115
"01185",2015,0,0,6,6
"01185",2018,0,0,14,14
"01185",2019,0,0,27,27
"01185",2020,0,0,14,14
"01187",2015,0,0,6,6
"01187",2018,0,0,14,14
"01187",2019,0,0,27,27
"01187",2020,0,0,14,14
"01188",2015,0,43,0,43
"01188",2017,0,115,27,142
"01188",2018,0,117,14,131
"01188",2019,0,41,27,68
"01188",2020,0,0,78,78
"01189",2015,0,0,6,6
"01189",2018,0,0,14,14
"01189",2019,0,0,27,27
"01189",2020,0,0,14,14
"01190",2015,0,0,43,43
"01190",2017,0,0,62,62
"01190",2018,0,0,59,59
"01190",2019,0,0,115,115
"01191",2015,0,0,43,43
"01191",2017,0,0,62,62
"01191",2018,0,0,59,59
"01191",2019,0,0,115,115
"01192",2015,0,0,43,43
"01192",2017,0,0,62,62
"01192",2018,0,0,59,59
"01192",2019,0,0,115,115
"01193",2015,0,0,43,43
"01193",2017,0,0,62,62
"01193",2018,0,0,59,59
"01193",2019,0,0,115,115
"01194",2015,0,43,0,43
"01194",2017,0,115,27,142
"01194",2018,0,117,14,131
"01194",2019,0,41,27,68
"01194",2020,0,0,78,78
"01195",2015,0,43,0,43
"01195",2017,0,115,27,142
"01195",2018,0,117,14,131
"01195",2019,0,41,27,68
"01195",2020,0,0,14,14
"01196",2017,0,0,27,27
"01196",2018,0,0,14,14
"01196",2019,0,0,27,27
"01196",2020,0,0,14,14
"01197",2015,0,43,0,43
"01197",2017,0,115,27,142
"01197",2018,0,117,14,131
"01197",2019,0,41,27,68
"01197",2020,0,0,14,14
"01198",2015,0,43,0,43
"01198",2017,0,115,27,142
"01198",2018,0,117,14,131
"01198",2019,0,41,27,68
"01198",2020,0,0,78,78
"01199",2015,0,0,43,43
"01199",2017,0,53,62,115
"01199",2018,0,117,59,176
"01199",2019,0,231,115,346
"01199",2020,0,104,0,104
"01200",2015,0,0,43,43
"01200",2017,0,0,62,62
"01200",2018,0,0,59,59
"01200",2019,0,0,115,115
"01202",2015,0,0,43,43
"01202",2017,0,53,62,115
"01202",2018,0,117,59,176
"01202",2019,0,231,115,346
"01202",2020,0,104,0,104
"01203",2015,0,43,0,43
"01203",2017,0,115,27,142
"01203",2018,0,117,14,131
"01203",2019,0,41,27,68
"01203",2020,0,0,78,78
"01204",2015,0,0,6,6
"01204",2018,0,0,14,14
"01204",2019,0,0,27,27
"01204",2020,0,0,14,14
"01206",2015,0,0,43,43
"01206",2017,0,0,62,62
"01206",2018,0,0,59,59
"01206",2019,0,0,115,115
"01207",2015,0,43,0,43
"01207",2017,0,115,27,142
"01207",2018,0,117,14,131
"01207",2019,0,41,27,68
"01207",2020,0,0,78,78
"01208",2015,0,0,6,6
"01208",2018,0,0,14,14
"01208",2019,0,0,27,27
"01208",2020,0,0,14,14
"01209",2015,0,43,6,49
"01209",2017,0,53,0,53
"01209",2018,0,117,14,131
"01209",2019,0,231,27,258
"01209",2020,0,0,14,14
"01210",2015,0,43,6,49
"01210",2017,0,53,0,53
"01210",2018,0,117,14,131
"01210",2019,0,231,27,258
"01210",2020,0,0,14,14
"01211",2015,0,43,0,43
"01211",2017,0,115,27,142
"01211",2018,0,117,14,131
"01211",2019,0,41,27,68
"01211",2020,0,0,78,78
"01212",2017,0,0,27,27
"01212",2018,0,0,14,14
"01212",2019,0,0,27,27
"01212",2020,0,0,14,14
"01213",2015,0,0,43,43
"01213",2017,0,53,62,115
"01213",2018,0,117,59,176
"01213",2019,0,231,115,346
"01213",2020,0,104,0,104
"01214",2015,0,0,43,43
"01214",2017,0,0,62,62
"01214",2018,0,0,59,59
"01214",2019,0,0,115,115
"01215",2015,0,0,6,6
"01215",2018,0,0,14,14
"01215",2019,0,0,27,27
"01215",2020,0,0,14,14
"01216",2015,0,0,43,43
"01216",2017,0,0,62,62
"01216",2018,0,0,59,59
"01216",2019,0,0,115,115
"01219",2015,0,0,43,43
"01219",2017,0,0,62,62
"01219",2018,0,0,59,59
"01219",2019,0,0,115,115
"01224",2017,0,53,27,80
"01224",2018,0,117,14,131
"01224",2019,0,231,27,258
"01224",2020,0,104,78,182
"01225",2015,0,43,0,43
"01225",2017,0,115,27,142
